time,open,high,low,close,Volume
1784807160,8329.8,8330.3,8325.4,8326.9,96
1784807220,8327.4,8331.1,8327.4,8330.4,64
1784807280,8329.6,8331.6,8329.6,8331.6,62
1784807340,8331.3,8334.5,8331.3,8333.8,46
1784807400,8334,8338,8333.8,8337.5,74
1784807460,8337.7,8339.7,8337.2,8338.3,72
1784807520,8339.3,8351.5,8339,8342.7,98
1784807580,8342.2,8344.2,8340.7,8341.7,112
1784807640,8341.9,8343.2,8341.4,8342.7,70
1784807700,8342.2,8344.2,8341.7,8342.2,84
1784807760,8341.7,8342.2,8339.7,8340.7,66
1784807820,8341.2,8343.2,8340.7,8341.5,80
1784807880,8341.2,8343.7,8341.2,8342.2,54
1784807940,8342.7,8344.2,8342,8342.7,62
1784808000,8343.2,8343.7,8339.3,8339.5,82
1784808060,8339.3,8340,8337.8,8338.8,62
1784808120,8339.1,8340.6,8338.1,8338.3,86
1784808180,8337.8,8341.1,8337.8,8340.1,62
1784808240,8340.6,8344.5,8340.3,8344.5,90
1784808300,8344.3,8344.3,8340.8,8341.3,68
1784808360,8341.1,8343.1,8339.8,8342.3,84
1784808420,8342.1,8345,8342.1,8344.8,90
1784808480,8345,8345.5,8339.8,8340.6,68
1784808540,8340.3,8340.6,8335.1,8335.4,78
1784808600,8335.9,8338.6,8335.4,8337.9,80
1784808660,8338.4,8338.4,8332.4,8333.5,90
1784808720,8334,8334.7,8333.4,8333.4,54
1784808780,8332.9,8333,8330.2,8331,42
1784808840,8331.5,8332.5,8330.3,8331.3,40
1784808900,8330.5,8339.8,8330.5,8337.5,108
1784808960,8337,8338.5,8317.6,8326.2,118
1784809020,8327.7,8331.6,8327.2,8328.6,148
1784809080,8328.9,8328.9,8324.7,8325.2,82
1784809140,8325.7,8327.7,8321.3,8321.3,70
1784809200,8320.8,8324.8,8318.8,8323.8,90
1784809260,8324,8329.2,8322.3,8327.9,114
1784809320,8328.2,8329.9,8325.7,8326.2,106
1784809380,8326.4,8328.6,8324.2,8328.1,92
1784809440,8328.4,8328.9,8325.1,8328.9,82
1784809500,8328.1,8328.1,8324.1,8324.4,128
1784809560,8324.6,8325.4,8322.6,8322.6,62
1784809620,8323.1,8326.8,8323.1,8326.6,60
1784809680,8326.1,8326.3,8324.1,8324.3,38
1784809740,8324.1,8325.8,8323.1,8325.8,45
1784809800,8322.1,8325.1,8321.1,8323.6,103
1784809860,8323.1,8324.1,8321.1,8322.1,100
1784809920,8322.4,8325.6,8322.4,8323.9,76
1784809980,8324.1,8325.1,8321.6,8324.1,76
1784810040,8324.4,8325.9,8321.4,8325.9,92
1784810100,8325.4,8326.4,8322.1,8324.1,96
1784810160,8323.6,8324.9,8321.1,8321.6,78
1784810220,8321.1,8322.1,8319.4,8319.7,82
1784810280,8319.9,8323.4,8319.9,8323.1,96
1784810340,8322.6,8322.6,8318.9,8321.1,64
1784810400,8320.6,8321.1,8316.4,8317.4,92
1784810460,8317.1,8317.1,8314.7,8315.2,92
1784810520,8314.9,8314.9,8307.2,8307.2,108
1784810580,8307.7,8310.7,8307.2,8310.7,80
1784810640,8311.2,8311.9,8309.2,8310.2,104
1784810700,8310.7,8311.7,8308.7,8311.2,84
1784810760,8310.7,8311.7,8308.7,8311.1,86
1784810820,8310.9,8311.2,8308.2,8308.7,90
1784810880,8309.2,8309.7,8306.7,8307.7,104
1784810940,8307.2,8310.6,8305.2,8310.1,116
